Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (nJ)
add,tsmc28,64,7713,0.12962723816932453,359.478003,1670.0,0.1358744976014521
csa,sky90,8,6478,0.16536163229391787,375.340007,216.172,0.15930842852732327
mux8,sky90,128,2827,0.37011887124159887,4557.000083,1680.0,0.9458790237000354
comparator,sky90,128,2469,0.4048802762251924,2907.660056,623.203,0.317942486836776
comparator,tsmc28,64,9994,0.10003003602161296,225.54,848.556,0.0517310386231739
add,sky90,64,2310,0.4818804329004329,2896.880056,1140.0,1.0454545454545454
csa,tsmc28,128,23543,0.04244547041583485,499.96801,3850.0,0.22049016692859874
mux2,sky90,128,3880,0.25698395876288654,1652.280032,1290.0,0.5945876288659794
mux4,tsmc28,32,15804,0.06679512022272842,75.221999,360.596,0.02372817008352316
mux2,tsmc28,1,51887,0.019658650182126546,2.142,15.112,0.0006013066856823482
add,sky90,64,2268,0.46467410758377425,2989.000058,1150.0,1.0533509700176367
flop,sky90,128,8921,0.11434405660800359,2132.4799805,1035.0,3.096457796211187
shiftleft,tsmc28,16,11096,0.09008356669069935,82.907999,376.563,0.02406272530641673
mux4,tsmc28,64,12812,0.07728182641273805,113.399999,453.176,0.03660630658757415
comparator,tsmc28,128,8809,0.11351826336701101,441.503999,1580.0,0.09774094675899647
comparator,tsmc28,32,12381,0.082321920119538,163.044,743.896,0.03941523301833454
flop,sky90,128,9270,0.11434386515641856,2132.4799805,1035.0,3.0964940668824164
mux2,sky90,64,4032,0.24874687301587303,475.300009,113.443,0.1515376984126984
mux4,sky90,128,3167,0.31575023618566467,2016.840039,722.109,0.5917271866119356
comparator,sky90,32,10,1.0165939999999978,495.88001,66.41,0.0424
comparator,sky90,16,3938,0.25292600812595223,388.080008,208.857,0.07719654647028949
priorityencoder,sky90,16,6244,0.1666287475976938,185.220003,132.902,0.03294362588084561
flop,tsmc28,16,21682,0.04889120653076284,30.24,157.29,0.05447606309381053
mux4d,sky90,1,10284,0.10307742862699339,51.940001,49.18,0.01364255153636717
comparator,tsmc28,8,16055,0.062218892245406415,26.208,124.888,0.007144191840548115
mux2,tsmc28,1,52905,0.01965880512238919,2.142,15.112,0.0006010774028919763
mux4,sky90,128,3357,0.3042110163836759,2132.480041,762.467,0.5895144474232946
shiftleft,sky90,8,4414,0.25993588038060716,218.540004,115.4,0.05822383325781604
add,tsmc28,64,7549,0.13246087653993907,330.372002,1490.0,0.1241224003179229
add,tsmc28,8,14668,0.07161662039814562,39.06,231.044,0.015387237523861466
comparator,sky90,128,2791,0.35824651809387315,2744.980052,796.047,0.34396273737011823
shiftleft,tsmc28,32,10163,0.10229014287119945,394.632001,2000.0,0.11040047230148578
priorityencoder,sky90,8,7362,0.1356376541700625,49.980001,33.776,0.009277370279815267
mult,sky90,32,763,1.3106129895150722,25200.700446,14900.0,24.931847968545217
mux2,sky90,8,10,0.41516099999999767,58.800001,10.206,0.01786
mult,sky90,32,10,8.063384999999997,12417.580067,1180.0,4.64
mux4,tsmc28,8,17425,0.05691080918220947,19.782,89.585,0.006134863701578192
mult,sky90,128,514,1.9488052918287937,289359.703832,109000.0,263.0311284046693
flop,tsmc28,128,19227,0.048891193998023615,241.919998,1260.0,0.4356113798304468
priorityencoder,sky90,8,10,0.47602799999999945,34.300001,2.489,0.004279
add,tsmc28,32,9616,0.10391334442595675,202.104002,1010.0,0.07945091514143095
add,tsmc28,32,9223,0.10841559069717012,174.132001,855.479,0.07090968231594924
priorityencoder,sky90,16,10,0.660728000000006,85.260002,5.247,0.00692
csa,sky90,64,6294,0.16398147442008262,3136.000061,1970.0,1.448363520813473
mux4,tsmc28,64,14205,0.0709287472720873,145.655999,671.083,0.046180922210489264
mux2,tsmc28,128,17968,0.05788449688334818,210.924,1240.0,0.06077471059661621
mux4,sky90,8,4726,0.21123742953872196,148.960002,66.984,0.04026661024121879
mux8,tsmc28,16,11282,0.08828276653075696,76.356,313.906,0.019553270696684985
mult,tsmc28,128,10,8.397948999999997,26059.445743,91700.0,25.69
mux4,sky90,128,3391,0.3066542601002654,2248.120044,733.383,0.5682689472132114
mux4,sky90,8,4288,0.2311609552238806,120.540002,34.353,0.03362873134328358
priorityencoder,sky90,32,4500,0.2218912222222222,372.400007,189.626,0.04371111111111111
add,tsmc28,8,14391,0.07025787436592315,37.422,203.854,0.014008755472170106
csa,tsmc28,64,10,0.06758100000000411,137.087997,458.434,0.05770000000000001
mux2d,tsmc28,1,48596,0.019658825335418552,2.142,15.112,0.0006029302823277636
mux8,tsmc28,8,13160,0.07636884194528876,46.494,227.561,0.01222644376899696
mux8,tsmc28,32,12416,0.08657423711340206,248.723997,1220.0,0.054043170103092786
mux4,sky90,8,5091,0.22075106383814574,203.840004,102.281,0.046768807699862504
mux8,sky90,16,3362,0.295237998810232,582.120003,282.366,0.14455681142177274
mux4,tsmc28,16,10,0.092804000000001,28.224,102.974,0.0069
mult,sky90,128,524,1.9083759465648855,296198.144128,114000.0,273.3148854961832
flop,tsmc28,32,20864,0.048891447852760735,60.4799995,314.5785,0.10891487730061351
csa,sky90,16,6294,0.16398147442008262,784.000015,491.595,0.36272640610104856
mux8,tsmc28,16,11528,0.08572431575294935,77.994,322.722,0.01940492713393477
comparator,sky90,8,10,0.7786030000000039,118.580002,16.053,0.013359999999999999
mux2,sky90,128,3764,0.26554481402763014,1265.179998,702.615,0.4766206163655685
csa,tsmc28,16,22562,0.04244531185178619,62.496001,481.11,0.02765712259551458
comparator,tsmc28,128,10121,0.10600846596186148,551.376001,2560.0,0.12597569410137338
priorityencoder,sky90,64,3770,0.2649169893899205,720.300013,283.102,0.06100795755968169
mult,sky90,8,1232,0.8116313116883117,1834.560034,953.397,1.1055194805194806
add,tsmc28,128,10,3.638641000000007,272.789995,918.55,0.1339
add,tsmc28,16,12212,0.08589166885031116,99.792001,541.144,0.03807730101539469
mux2,sky90,16,4652,0.21329230696474635,115.640002,41.725,0.04312123817712812
priorityencoder,sky90,8,8483,0.12521182447247436,64.680001,49.589,0.01462925851703407
mult,tsmc28,32,2795,0.35777975313059035,3901.212023,26100.0,4.221466905187835
mux2,tsmc28,8,27245,0.03986398238208846,11.466,61.225,0.0031602128830978157
mult,sky90,64,619,1.6154428852988691,82141.641305,36600.0,84.04200323101776
add,sky90,32,2420,0.4132191404958678,1330.840024,582.809,0.5206611570247934
mux2,sky90,64,4071,0.25437589191844756,466.480009,106.771,0.15131417342176368
mux2,sky90,1,12288,0.08300820833333333,13.72,12.3,0.00390625
priorityencoder,sky90,16,5537,0.1802842147372223,126.420002,65.822,0.018945277225934625
mux8,sky90,1,6114,0.17152604481517827,86.240001,79.616,0.01625776905462872
comparator,sky90,64,3004,0.33252048069241014,1401.400026,500.904,0.2097203728362184
mult,tsmc28,64,2581,0.41287172607516465,18964.008028,134000.0,21.443626501356064
mux8,tsmc28,1,15356,0.06469512529304507,6.804,32.934,0.0018566032821047149
priorityencoder,sky90,64,4262,0.24266362834350072,888.860015,460.967,0.08305959643359925
flop,sky90,8,8046,0.11434435918468804,133.279999,64.8145,0.19361794680586625
mux2d,sky90,1,13482,0.07565897136923305,19.6,18.562,0.006037679869455571
mux2,sky90,32,10,0.9805759999999992,222.460004,38.896,0.08660000000000001
add,tsmc28,16,11751,0.08525914049868095,95.382001,501.111,0.03625223385243809
mux4,sky90,8,4895,0.21053709193054138,164.640002,96.679,0.04439223697650664
flop,sky90,32,9270,0.11434386515641856,533.119995,259.258,0.7742718446601942
mux2,sky90,64,4459,0.24442353038797937,564.480008,225.034,0.1910742318905584
shiftleft,tsmc28,32,10,0.2576830000000001,108.108,362.436,0.0312
csa,tsmc28,8,25995,0.040894936333910364,50.4,473.705,0.02154260434698981
csa,tsmc28,64,25014,0.04049261253697929,419.327999,3860.0,0.17346286079795317
comparator,tsmc28,32,12139,0.08236710865804432,145.782,622.975,0.03567015404893319
mult,tsmc28,64,2533,0.4110307879984208,19456.542013,137000.0,22.258981444926967
csa,tsmc28,64,26486,0.040226795514611495,419.327997,3910.0,0.17428075209544666
comparator,tsmc28,64,10863,0.09205360158335635,281.736,1150.0,0.06526742152259966
mux8,tsmc28,32,11479,0.08648460240439063,162.288,783.316,0.045648575659900686
shiftleft,sky90,16,3489,0.3163680759529951,644.840009,367.22,0.18515333906563486
csa,tsmc28,64,23053,0.04244530217325294,249.984005,1920.0,0.11022426582223571
mux4,sky90,8,4993,0.2106033925495694,159.740002,79.159,0.04195874223913479
mux4,tsmc28,128,13613,0.07641319341805627,307.943996,1470.0,0.09696613531183428
add,tsmc28,64,10,1.836310999999995,135.701998,459.885,0.06620000000000001
mux2,sky90,128,10,0.9859239999999971,882.000017,273.775,0.41000000000000003
mux2,sky90,64,4152,0.24532878420038537,472.360009,114.673,0.15221579961464354
mux2,sky90,128,3576,0.2794420581655481,939.820018,331.591,0.34004474272930646
mux2,tsmc28,128,16305,0.0613148800981294,190.008,1070.0,0.05636307881018093
mux4,sky90,16,4392,0.22421770309653916,359.659999,419.855,0.1006375227686703
shiftleft,sky90,64,2291,0.44757461545176774,3929.800064,2900.0,1.0781318201658665
comparator,sky90,16,4340,0.2460047465437788,415.520007,287.169,0.08801843317972351
mux2d,sky90,1,14275,0.07565853940455342,19.6,18.562,0.006038528896672504
flop,sky90,32,8746,0.11434398307797851,533.119995,259.258,0.7742396524125315
flop,tsmc28,8,18818,0.04889161005420342,15.12,78.634,0.027231905622276543
flop,tsmc28,32,22091,0.048891303426734874,60.4799995,314.581,0.1089312389660948
shiftleft,sky90,16,3221,0.3100215892579944,568.400009,361.777,0.15088481837938528
flop,tsmc28,16,20045,0.04889175255674732,30.24,157.289,0.05446994262908456
mux8,tsmc28,16,10,0.1332400000000007,55.314,209.828,0.00977
add,sky90,64,2011,0.4972310422675286,2600.920051,698.518,0.7419194430631526
mux4,tsmc28,16,17146,0.06054764084917765,41.454,196.466,0.01294762626851744
mux2,sky90,64,4046,0.24701768660405338,470.400009,113.216,0.15076618882847256
mux8,tsmc28,32,12650,0.08457538339920949,166.194,848.034,0.045138339920948616
mux8d,tsmc28,1,21936,0.045586162654996355,20.664,171.151,0.0066146973012399714
shiftleft,sky90,32,2654,0.37915475131876414,1722.840029,1260.0,0.48342125094197436
add,sky90,8,3658,0.27337042810278844,253.820005,154.438,0.10825587752870422
mult,sky90,32,732,1.366111218579235,22404.76038,10600.0,21.352459016393443
mult,sky90,16,1077,1.0042961067780873,8138.90015,5900.0,7.317548746518106
add,sky90,16,3118,0.3282264092366902,736.960014,480.371,0.340602950609365
shiftleft,tsmc28,8,10,0.12195599999999729,15.624,50.976,0.00468
shiftleft,sky90,128,2022,0.5271028417408506,10014.620149,7320.0,3.1434223541048465
shiftleft,sky90,64,2380,0.45773406722689075,3919.020064,2710.0,1.1453781512605041
add,sky90,64,1968,0.5080270813008131,2562.700049,727.43,0.8257113821138212
mux4,tsmc28,16,17476,0.06042933211261158,44.603999,221.905,0.013962005035477227
mux4,tsmc28,16,17805,0.060904998876720025,41.454,205.138,0.012580735748385285
mult,sky90,64,657,1.5743890152207,91424.201493,51700.0,99.10806697108069
add,sky90,16,3060,0.33280138562091505,654.640013,402.982,0.30130718954248364
shiftleft,tsmc28,16,12512,0.083927273657289,133.055999,664.296,0.0356457800511509
mux8,sky90,16,3499,0.2878559416976279,651.700012,325.896,0.1434695627322092
mux4,sky90,1,7633,0.12838308777675883,28.420001,22.994,0.006406393292283505
shiftleft,tsmc28,8,14290,0.06990600629811056,40.95,293.744,0.013638908327501751
mux8,sky90,1,6349,0.1691041189163648,77.420002,50.656,0.012364151834934636
priorityencoder,tsmc28,8,31962,0.035221153494775045,9.198,37.469,0.0018521994868906828
mux4,sky90,8,4709,0.21214331195582928,145.040003,60.946,0.03909534933106817
shiftleft,sky90,16,3355,0.29803959314456036,666.400006,558.433,0.19552906110283155
mux4,tsmc28,8,17062,0.05850077611065526,19.53,84.328,0.00568514828273356
comparator,tsmc28,128,9746,0.10437919741432382,625.338001,2880.0,0.1468294684998974
add,tsmc28,16,12442,0.08824893039704226,113.274001,694.899,0.04436585757916734
priorityencoder,tsmc28,64,14632,0.0725743570256971,137.214,427.879,0.017974302897758337
mux8d,tsmc28,1,23253,0.04558620362963919,20.664,171.151,0.006596998236786652
mux2,sky90,32,4602,0.21088882746631898,368.480007,245.044,0.13450673620165146
flop,tsmc28,16,19227,0.048891193998023615,30.24,157.289,0.054465075154730334
flop,sky90,16,9096,0.11434443447669304,266.5599975,129.629,0.3871481970096746
flop,sky90,128,8221,0.1143447031991242,2132.4799805,1035.0,3.096338644933706
mult,tsmc28,8,5000,0.19998100000000002,444.150001,3260.0,0.307
mult,sky90,16,977,1.0235154534288637,7283.360133,4580.0,6.243602865916069
flop,tsmc28,128,19636,0.04889186901609289,241.919998,1260.0,0.4356284375636586
shiftleft,sky90,128,1945,0.5336378174807198,8909.180133,5830.0,2.820051413881748
comparator,sky90,64,3192,0.3360462080200501,1335.740026,391.156,0.1779448621553885
mux4,sky90,8,4700,0.2121439574468085,145.040003,64.775,0.03893617021276596
comparator,sky90,8,4742,0.21876148460565162,196.980003,82.494,0.03829607760438633
mux2d,tsmc28,1,10,0.029228000000003362,0.882,4.502,0.000264
flop,tsmc28,64,21682,0.04889120653076284,120.959999,630.0,0.2178535190480583
mux4d,sky90,1,9895,0.1030771419909045,51.940001,49.18,0.013633148054573016
flop,tsmc28,32,21682,0.04889120653076284,60.4799995,314.581,0.10892675952402915
mult,sky90,8,1206,0.8280323963515754,1868.860035,988.885,1.1044776119402984
priorityencoder,tsmc28,64,12975,0.07704429094412331,114.912,326.132,0.015221579961464355
mux8,sky90,16,3430,0.2957901895043732,640.920012,234.96,0.12128279883381925
mux4,sky90,1,7945,0.12749332410320954,28.420001,23.453,0.006419131529263688
mux2,tsmc28,8,27837,0.039864411287135824,11.466,61.225,0.0031612601932679524
mult,sky90,64,670,1.561193313432836,92421.841521,53500.0,101.42388059701491
priorityencoder,tsmc28,8,33842,0.033048081023580166,11.34,48.981,0.002095029844571834
shiftleft,sky90,8,10,0.705528000000001,130.340003,10.712,0.024439999999999996
comparator,sky90,128,2737,0.3784935367190354,2763.600053,937.534,0.3624406284252832
priorityencoder,tsmc28,128,11440,0.0874065874125874,317.646,973.649,0.041171328671328666
mult,tsmc28,64,2390,0.4184090418410042,16045.092071,109000.0,18.54602510460251
mux2d,tsmc28,1,54934,0.018931662576910473,3.276,26.574,0.0009265664251647431
csa,sky90,128,5931,0.1654056314280897,4264.960083,2470.0,2.178553363682347
csa,sky90,8,5878,0.16847689316093908,282.240005,197.88,0.1439265056141545
mux4,sky90,16,10,0.5659639999999939,219.520004,14.317,0.049400000000000006
csa,tsmc28,64,24524,0.040663382319360626,419.327999,3860.0,0.17342195400424076
mux4,sky90,128,3221,0.31600558925799443,2300.060044,812.053,0.6184414778019248
shiftleft,sky90,32,2604,0.38592357757296464,1571.920027,1010.0,0.4178187403993856
shiftleft,tsmc28,64,7611,0.1313867793982394,518.489997,2380.0,0.16371041913020629
shiftleft,sky90,128,2060,0.5385058932038835,10222.380152,7230.0,3.1378640776699034
csa,tsmc28,64,24034,0.04077672239327619,395.135998,3790.0,0.17113256220354495
priorityencoder,sky90,8,8163,0.12799298137939483,56.840001,37.422,0.011674629425456327
mux2,sky90,64,4112,0.2462356614785992,484.120009,110.88,0.15126459143968873
priorityencoder,sky90,128,3545,0.30223844710860365,1650.320031,568.632,0.1156558533145275
mux4,sky90,16,4661,0.2587782347135808,443.940009,202.299,0.10319673889723234
mux8d,tsmc28,1,10,0.06624600000000669,5.04,17.289,0.001224
mux2d,sky90,1,14010,0.07565858743754461,19.6,18.562,0.006038543897216275
mux8,sky90,16,3225,0.30794551937984493,805.560013,497.282,0.18387596899224806
priorityencoder,tsmc28,8,33216,0.033047973025048166,11.34,48.981,0.0020953757225433524
mux8,sky90,128,10,1.955451999999994,3207.540062,224.085,0.5810000000000001
mux8,tsmc28,8,13676,0.07518479555425563,51.281999,237.31,0.013044749926879203
mult,sky90,16,1037,1.0221291542912248,7597.940137,5000.0,6.758919961427194
mux2,sky90,8,5723,0.18835053136466887,64.680001,21.541,0.01930805521579591
flop,tsmc28,32,20454,0.04889119262735895,60.4799995,314.5785,0.10891757113523029
mux4,sky90,32,3965,0.26433580958385877,694.820013,296.704,0.17225725094577554
priorityencoder,sky90,8,8323,0.12521198474107895,62.720001,47.365,0.013949297128439266
mux4d,tsmc28,1,32579,0.030080619233248413,4.158,30.464,0.0012799656220264589
mux2,sky90,16,5246,0.20207342584826535,119.560002,32.354,0.038810522302706825
mux2,sky90,128,3684,0.2709390825190011,1077.020021,395.706,0.3564060803474485
shiftleft,tsmc28,128,6602,0.1514602517418964,1247.021993,5430.0,0.39003332323538326
mux4,sky90,128,3270,0.3079683975535168,2259.880041,888.365,0.6391437308868501
add,tsmc28,16,10,0.4766620000000046,32.886,116.238,0.01565
comparator,sky90,8,4548,0.2197028689533861,190.120003,121.871,0.04243623570800352
mult,tsmc28,16,3895,0.26150940949935814,1844.136,13600.0,1.5527599486521182
csa,tsmc28,8,23543,0.04244547041583485,31.248001,240.54,0.013859745996686912
shiftleft,tsmc28,8,14594,0.06865231012744964,34.398,218.032,0.011299164040016445
priorityencoder,tsmc28,32,17781,0.06230780653506551,56.826,201.644,0.008762161858163208
mux2,sky90,64,3908,0.25440036335721594,471.380009,138.856,0.15916069600818833
flop,sky90,32,8396,0.11434433539780849,533.119995,259.258,0.7741781800857551
mult,tsmc28,32,2735,0.3656287129798903,3643.290023,23700.0,3.8815356489945154
shiftleft,tsmc28,8,15810,0.06615910689437064,48.762,352.527,0.016299810246679317
csa,sky90,32,5638,0.16671386094359703,1160.320023,826.559,0.5954239091876552
add,sky90,8,3878,0.26842487880350696,273.420005,147.185,0.12325941206807632
csa,sky90,128,5568,0.17497270114942529,4635.40009,3290.0,2.380387931034483
mux2,sky90,128,4084,0.2551629823702253,1146.600021,479.203,0.3868756121449559
mux4,sky90,64,10,1.1701199999999972,834.960016,55.508,0.2097
priorityencoder,tsmc28,8,30709,0.032285743527955976,8.19,32.782,0.0016770327916897328
priorityencoder,sky90,16,5773,0.16977016282695304,136.220003,77.243,0.021773774467348
comparator,tsmc28,128,9559,0.10898145329009311,543.06,2390.0,0.12511769013495136
priorityencoder,tsmc28,16,22529,0.04496223423143504,30.114,121.215,0.0053974876825425
mux8,tsmc28,8,12902,0.07750336319950395,44.604,214.286,0.0117501162610448
shiftleft,sky90,32,2403,0.4160544835622139,1370.040025,695.62,0.3807740324594257
mult,tsmc28,8,5100,0.19653543137254903,514.458001,3810.0,0.3413725490196079
comparator,tsmc28,8,10,0.138023000000004,14.994,49.297,0.00345
comparator,sky90,64,3380,0.3280749881656805,1322.020025,392.984,0.1804733727810651
mux4,sky90,8,4797,0.20979962309776945,163.660002,93.256,0.043923285386700026
comparator,sky90,128,2576,0.38793975776397516,2632.280051,550.607,0.3796583850931677
comparator,tsmc28,8,17763,0.05672979671226708,37.296,188.549,0.00990260654168778
mux8d,sky90,1,7158,0.13412482788488406,85.260001,40.078,0.015129924559932943
flop,tsmc28,128,21682,0.04889120653076284,241.919998,1260.0,0.4356378562863204
shiftleft,tsmc28,128,7023,0.14238329232521713,1836.953994,8670.0,0.566566994162039
mux8,sky90,32,3305,0.32156986081694405,1068.20002,336.387,0.22208774583963692
priorityencoder,tsmc28,128,11669,0.08626314628502871,290.808,928.813,0.038906504413403036
mux2,sky90,64,3870,0.25809293281653745,474.320009,156.263,0.1684754521963824
flop,tsmc28,32,10,0.048889000000002625,60.4799995,314.5805,0.10908000000000001
add,tsmc28,64,8206,0.12185605215695831,388.836003,1770.0,0.1409943943456008
priorityencoder,tsmc28,64,10,0.4980240000000009,55.313999,146.464,0.00796
mux4,sky90,8,4771,0.2097996646405366,162.680002,90.237,0.04353385034583944
mult,tsmc28,64,2199,0.45474816007276037,12441.870079,76300.0,13.95543428831287
flop,sky90,64,9445,0.11434412493382742,1066.23999,520.0,1.5483324510322922
mult,tsmc28,8,4900,0.20404963265306122,402.318001,2820.0,0.273265306122449
mux2,sky90,128,4244,0.255888767200754,1307.320024,674.031,0.42412818096135724
shiftleft,sky90,16,3422,0.30792076797194623,625.240012,393.788,0.1604324956165985
add,sky90,8,10,1.0608979999999946,103.879999,14.319,0.0376
mult,sky90,16,937,1.0669988591248665,6421.94011,3210.0,5.136606189967982
mux8,sky90,8,3800,0.2700248947368421,316.540006,115.77,0.061394736842105266
csa,sky90,8,10,0.2641830000000027,117.599998,13.811,0.0423
add,sky90,32,2517,0.4132753710766786,1551.340027,760.812,0.6495828367103694
mult,sky90,32,717,1.394444139470014,21700.140365,9390.0,18.78103207810321
mux4,sky90,16,4067,0.24427448512417016,245.000004,71.922,0.07489550036882223
shiftleft,sky90,8,4500,0.23008222222222222,262.640004,204.113,0.07422222222222222
mux4,sky90,32,4036,0.26555906937561946,686.980013,310.401,0.1749256689791873
mux8,tsmc28,64,11014,0.09067453550027238,304.163999,1460.0,0.08498274922825495
shiftleft,tsmc28,128,6742,0.14831493948383268,1348.955989,6120.0,0.40418273509344405
comparator,tsmc28,16,14560,0.07291231868131869,65.394,294.431,0.017046703296703294
shiftleft,sky90,32,2303,0.4341202396873643,1227.940022,465.632,0.30916196265740337
mux8,tsmc28,1,17359,0.06011100501180944,9.072,57.908,0.002793939743072758
flop,sky90,8,9096,0.11434443447669304,133.279999,64.8145,0.19359608619173263
mux8d,tsmc28,1,22814,0.045585734285964755,20.664,171.151,0.006601209783466293
priorityencoder,tsmc28,32,16793,0.06043762144941345,66.654,245.564,0.01027213720002382
mux2,tsmc28,16,18767,0.053046021580433735,15.75,88.025,0.005142004582511856
priorityencoder,tsmc28,8,30082,0.033050470580413535,8.946,35.541,0.0018349843760388273
mux2d,sky90,1,13217,0.07565913467503972,19.6,18.562,0.006037678747068169
add,tsmc28,128,7643,0.13338867591259976,1025.51401,5130.0,0.3834881590998299
mux2,sky90,64,4291,0.24377191004427873,497.840007,137.147,0.1610347238405966
mux2,tsmc28,32,19336,0.055856004551096405,32.130001,171.146,0.009898634671079851
shiftleft,tsmc28,32,9587,0.10430391697089808,384.803997,1940.0,0.10180452696359654
mux8,sky90,8,3370,0.29463590504451037,279.300005,102.669,0.05480712166172106
mux2,tsmc28,8,30206,0.03374500542938489,16.758,114.743,0.005459180295305568
priorityencoder,sky90,32,4883,0.2067641359819783,376.320006,232.357,0.04872004915011264
mux4,tsmc28,16,16486,0.06057952759917506,39.438,186.231,0.012556108213029236
mux8,tsmc28,128,10055,0.09943300845350571,719.333996,3300.0,0.1648930880159125
mux4,tsmc28,16,16157,0.06161267809618122,39.06,181.31,0.012428049761713189
mux8,sky90,128,2613,0.3825318752391887,4084.640077,1310.0,0.8308457711442787
mux2,sky90,16,5147,0.20207393471925392,119.560002,32.354,0.03891587332426656
shiftleft,sky90,8,4587,0.22936441225201656,246.960005,191.922,0.06562023108785697
mux8,tsmc28,128,11312,0.0964546973125884,642.473997,3330.0,0.17494695898161244
mult,sky90,64,645,1.552430596899225,92630.581541,51300.0,97.67906976744187
csa,sky90,64,5689,0.16671381683951486,2320.640045,1650.0,1.1935313763403057
mux4,sky90,32,4042,0.2655582761009401,686.980013,310.401,0.17491340920336468
mult,tsmc28,32,2854,0.35038242396636304,4257.414022,28900.0,4.601261387526279
shiftleft,sky90,16,10,0.8858720000000062,350.840007,23.053,0.0551
mux8,sky90,32,3178,0.3140553102580239,1319.079995,670.683,0.35777218376337316
flop,sky90,32,10,0.1143419999999935,533.119995,259.258,0.7723000000000001
add,sky90,32,2323,0.43015783039173483,1235.780024,448.937,0.4567369780456306
priorityencoder,tsmc28,64,13528,0.07389375694855116,136.584,433.326,0.01848018923713779
shiftleft,tsmc28,32,8820,0.11336868480725625,202.986,923.446,0.060204081632653055
mux4,sky90,8,5189,0.2207513594141453,203.840004,102.281,0.046733474657930235
mux4,sky90,16,4302,0.23042302324500233,358.679999,417.161,0.09972105997210601
shiftleft,tsmc28,32,9971,0.10217084344599339,306.179999,1470.0,0.08785477885869021
mux8,tsmc28,128,10683,0.09720766479453338,908.333989,4170.0,0.18440512964523076
mult,sky90,8,10,2.0858690000000024,1009.399998,188.656,0.28900000000000003
shiftleft,sky90,16,3624,0.3116181898454746,610.540011,408.291,0.1705298013245033
csa,tsmc28,128,10,0.06758100000000411,274.175995,917.068,0.1156
mux2,sky90,64,4100,0.24623543902439024,485.100009,111.924,0.15146341463414634
mux8,tsmc28,32,11010,0.09082652134423251,200.717998,917.695,0.04695731153496821
mux2,sky90,8,5405,0.18835087604070305,64.680001,21.541,0.019315448658649398
mux4,sky90,128,3190,0.31594562382445146,2003.120039,751.54,0.5626959247648903
add,sky90,16,2765,0.3615926528028933,553.70001,272.075,0.24267631103074144
add,tsmc28,16,11060,0.09034091320072332,70.434,348.689,0.02631103074141049
priorityencoder,tsmc28,16,22104,0.04620368041983351,25.956,96.244,0.0045466883821932685
add,sky90,32,2468,0.40496338573743923,1440.600027,714.057,0.6580226904376014
priorityencoder,tsmc28,16,19978,0.04995306056662329,17.514,56.066,0.0032535789368305134
mux2,sky90,16,4949,0.2020740224287735,119.560002,32.354,0.03893715902202465
comparator,sky90,64,3129,0.31954192361776923,1372.980026,508.393,0.2048577820389901
mux4,sky90,16,4396,0.22421752684258417,359.659999,419.855,0.10077343039126477
priorityencoder,tsmc28,32,16464,0.06071258114674442,61.614,207.499,0.009323372206025266
mux2,tsmc28,32,18978,0.05585559142164612,32.130001,171.146,0.009900937928127306
priorityencoder,tsmc28,8,31335,0.031912196106590074,8.316,34.836,0.001716929950534546
priorityencoder,sky90,16,6362,0.1666292756994656,185.220003,132.902,0.03325998113800692
shiftleft,tsmc28,16,11332,0.08822167596187787,107.603999,530.934,0.03132721496646664
mult,tsmc28,32,2914,0.3431698991077557,4572.666019,32100.0,4.94818119423473
mux8,sky90,8,10,0.5354459999999932,234.220005,15.482,0.03289
comparator,sky90,32,3818,0.27776223415400736,694.820013,315.258,0.10371922472498692
flop,sky90,8,9445,0.11434412493382742,133.279999,64.8145,0.19358920063525675
mux4d,sky90,1,9313,0.10687378513905293,53.900001,55.277,0.014087834210243745
mux4,tsmc28,128,13090,0.07636619404125286,294.335997,1420.0,0.09358288770053477
priorityencoder,sky90,128,3205,0.31198348049922,1572.900029,499.236,0.10826833073322932
shiftleft,tsmc28,128,7164,0.14037182300390844,2240.027998,10800.0,0.6394472361809045
mux8,sky90,8,3298,0.29833006913280774,249.900005,75.262,0.049939357186173434
mux8,sky90,8,3514,0.28218398178713716,245.980005,77.05,0.04951622083096187
mux4,sky90,128,3527,0.31660207683583785,2254.980037,793.173,0.6024950382761554
shiftleft,sky90,128,1907,0.5242938489774515,9192.400136,6080.0,2.9008914525432616
mult,tsmc28,16,3514,0.2845729817871372,1120.014004,7380.0,1.008537279453614
csa,sky90,8,5758,0.16536141368530738,266.560005,154.202,0.13650573115665163
shiftleft,sky90,8,3981,0.25095116754584273,259.700005,172.787,0.07309721175584023
mux4,sky90,128,3595,0.31559411682892907,2224.600043,699.898,0.5652294853963838
mux4,sky90,128,3210,0.3111464797507788,1931.580038,685.348,0.5700934579439252
priorityencoder,sky90,64,4180,0.25021144976076554,817.320015,379.7,0.07320574162679426
mux4d,sky90,1,10090,0.10307702775024777,51.940001,49.18,0.013637264618434094
comparator,tsmc28,64,10,0.28591199999999617,134.946,464.047,0.0294
csa,sky90,64,10,0.2641830000000027,940.799988,110.49,0.3369
flop,tsmc28,8,21682,0.04889120653076284,15.12,78.635,0.027239184577068535
mult,tsmc28,128,1756,0.5694750820045558,38955.924167,213000.0,41.384965831435075
mux2,sky90,32,5303,0.21904050612860645,233.240005,55.502,0.07542900245144259
priorityencoder,sky90,128,10,2.830100999999999,891.800017,56.107,0.0424
